11:18:07.239 logback-com.modules [cluster-ClusterId{value='5f03e96fa149804a5299e4eb', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 2, 21]}, minWireVersion=0, maxWireVersion=4, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=814800}
11:18:07.488 logback-com.modules [main] INFO  c.m.b.common.utils.PropertiesLoader - Could not load properties from path:jeesite.properties, class path resource [jeesite.properties] cannot be opened because it does not exist
11:18:29.307 logback-com.modules [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
11:18:29.762 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
11:18:29.780 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
11:18:29.824 logback-com.modules [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
11:18:30.008 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
11:18:30.037 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Started BootApplication in 26.634 seconds (JVM running for 28.096)
11:18:41.432 logback-com.modules [http-nio-8001-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:18:47.526 logback-com.modules [http-nio-8001-exec-2] INFO  c.m.b.modules.api.LoginController - 调微信成功
11:18:47.526 logback-com.modules [http-nio-8001-exec-2] INFO  c.m.b.modules.api.LoginController - WechatId==o5LWV5NMCEL7X_5ovPr95b6eccpE
11:18:47.583 logback-com.modules [http-nio-8001-exec-2] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:22:23.592 logback-com.modules [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
